direction,token,train_freq,train_pct,dev_freq,dev_pct,devtest_freq,devtest_pct
ar-en/en,following,692,0.1032,50,0.1258,15,0.0765
ar-en/en,government,676,0.1008,53,0.1334,25,0.1275
ar-en/en,stated,674,0.1005,68,0.1711,31,0.1581
ar-en/en,her,671,0.1,30,0.0755,7,0.0357
ar-en/en,those,670,0.0999,38,0.0956,12,0.0612
ar-en/en,United,657,0.0979,43,0.1082,21,0.1071
ar-en/en,there,648,0.0966,49,0.1233,14,0.0714
ar-en/en,other,645,0.0961,31,0.078,10,0.051
ar-en/en,"However,",631,0.0941,52,0.1309,12,0.0612
ar-en/en,including,629,0.0938,41,0.1032,24,0.1224
ar-en/en,first,625,0.0932,37,0.0931,22,0.1122
ar-en/en,could,625,0.0932,49,0.1233,13,0.0663
ar-en/en,people,609,0.0908,12,0.0302,8,0.0408
ar-en/en,global,609,0.0908,47,0.1183,27,0.1377
ar-en/en,international,607,0.0905,47,0.1183,27,0.1377
ar-en/en,we,601,0.0896,15,0.0377,11,0.0561
ar-en/en,any,595,0.0887,44,0.1107,20,0.102
ar-en/en,As,592,0.0882,46,0.1158,35,0.1785
ar-en/en,emphasized,585,0.0872,62,0.156,36,0.1836
ar-en/en,them,579,0.0863,26,0.0654,22,0.1122
ar-en/en,million,578,0.0862,42,0.1057,13,0.0663
ar-en/en,US,577,0.086,53,0.1334,17,0.0867
ar-en/en,most,575,0.0857,35,0.0881,10,0.051
ar-en/en,after,572,0.0853,26,0.0654,9,0.0459
ar-en/en,approximately,571,0.0851,61,0.1535,29,0.1479
ar-en/en,just,568,0.0847,31,0.078,11,0.0561
ar-hi/ar,في,19510,3.6162,1086,3.4133,542,3.412
ar-hi/ar,من,13130,2.4336,661,2.0775,328,2.0648
ar-hi/ar,على,8894,1.6485,545,1.7129,272,1.7123
ar-hi/ar,إلى,6693,1.2405,469,1.4741,230,1.4479
ar-hi/ar,أن,6134,1.1369,468,1.4709,229,1.4416
ar-hi/ar,مع,2845,0.5273,152,0.4777,78,0.491
ar-hi/ar,عن,2763,0.5121,152,0.4777,76,0.4784
ar-hi/ar,التي,2740,0.5079,143,0.4494,74,0.4658
ar-hi/ar,ما,2373,0.4398,149,0.4683,63,0.3966
ar-hi/ar,هذه,1886,0.3496,101,0.3174,47,0.2959
ar-hi/ar,أو,1882,0.3488,92,0.2892,50,0.3148
ar-hi/ar,هذا,1783,0.3305,88,0.2766,33,0.2077
ar-hi/ar,لا,1782,0.3303,57,0.1791,28,0.1763
ar-hi/ar,بعد,1495,0.2771,92,0.2892,34,0.214
ar-hi/ar,الذي,1471,0.2726,94,0.2954,34,0.214
ar-hi/ar,خلال,1420,0.2632,118,0.3709,54,0.3399
ar-hi/ar,بين,1406,0.2606,72,0.2263,35,0.2203
ar-hi/ar,عام,1252,0.2321,42,0.132,39,0.2455
ar-hi/ar,كما,1207,0.2237,104,0.3269,60,0.3777
ar-hi/ar,غير,1052,0.195,47,0.1477,39,0.2455
ar-hi/ar,حيث,1036,0.192,59,0.1854,17,0.107
ar-hi/ar,لم,1016,0.1883,64,0.2012,18,0.1133
ar-hi/ar,،,1016,0.1883,2,0.0063,1,0.0063
ar-hi/ar,كان,1001,0.1855,42,0.132,21,0.1322
ar-hi/ar,إن,951,0.1763,58,0.1823,26,0.1637
ar-hi/ar,أكثر,901,0.167,48,0.1509,18,0.1133
ar-hi/ar,قد,899,0.1666,58,0.1823,26,0.1637
ar-hi/ar,ذلك,849,0.1574,34,0.1069,22,0.1385
ar-hi/ar,مثل,790,0.1464,52,0.1634,18,0.1133
ar-hi/ar,قبل,790,0.1464,43,0.1351,17,0.107
ar-hi/ar,كانت,787,0.1459,36,0.1131,9,0.0567
ar-hi/ar,بشكل,758,0.1405,58,0.1823,28,0.1763
ar-hi/ar,عبر,728,0.1349,42,0.132,23,0.1448
ar-hi/ar,المتحدة,707,0.131,26,0.0817,16,0.1007
ar-hi/ar,منذ,698,0.1294,43,0.1351,12,0.0755
ar-hi/ar,أي,689,0.1277,43,0.1351,10,0.063
ar-hi/ar,لكن,670,0.1242,46,0.1446,21,0.1322
ar-hi/ar,حتى,660,0.1223,24,0.0754,18,0.1133
ar-hi/ar,نحو,653,0.121,49,0.154,43,0.2707
ar-hi/ar,هو,646,0.1197,26,0.0817,15,0.0944
ar-hi/ar,أنه,645,0.1196,57,0.1791,27,0.17
ar-hi/ar,العام,641,0.1188,57,0.1791,36,0.2266
ar-hi/ar,الرئيس,626,0.116,50,0.1571,34,0.214
ar-hi/ar,كل,626,0.116,18,0.0566,22,0.1385
ar-hi/ar,اليوم,619,0.1147,46,0.1446,28,0.1763
ar-hi/ar,مما,609,0.1129,29,0.0911,14,0.0881
ar-hi/ar,مليون,568,0.1053,47,0.1477,17,0.107
ar-hi/ar,بل,566,0.1049,31,0.0974,17,0.107
ar-hi/ar,وفي,553,0.1025,24,0.0754,17,0.107
ar-hi/ar,وقال,539,0.0999,43,0.1351,24,0.1511
ar-hi/ar,مليار,538,0.0997,76,0.2389,43,0.2707
ar-hi/ar,يوم,522,0.0968,31,0.0974,10,0.063
ar-hi/ar,وهو,522,0.0968,42,0.132,12,0.0755
ar-hi/ar,بما,522,0.0968,27,0.0849,28,0.1763
ar-hi/ar,ذلك،,517,0.0958,26,0.0817,10,0.063
ar-hi/ar,.,508,0.0942,1,0.0031,0,0.0
